Study_ID,Climate,Soil_Texture,Initial_EC_dSm,Initial_pH,Crop,Cropping_System,Duration_years,Irrigation_Type,Fertilizer,Outcome,Exp_mean,Exp_sd,Exp_n,Ctrl_mean,Ctrl_sd,Ctrl_n
(Dai et al. 2022),Subtropical,Loam,NA,NA,Wheat,Monoculture,1,Sprinkler,Straw + NPK,Yield,20,1.5,3,14,1.5,3
(Abulaiti et al. 2023),Arid,Silt loam,4,8,Wheat,Monoculture,4,NA,Biochar + Polymer (PAM),Yield,21.42,0.754,3,5.89,1.07,3
(Wang et al. 2022c),Arid,Silt loam,1.5,7.49,Maize,Intercropping,1,Drip,Control,Yield,8,1,3,6.5,1,3
(Bai et al. 2024),Temperate,NA,5,NA,NA,NA,NA,Drip,Biochar Only,Yield,2.334,0.14425,3,3.239,0.2574,3
(Shi et al. 2024),Temperate,Loam,NA,7.2,Tomato,Monoculture,NA,Drip,NPK,Yield,8.13,0.17,3,7.57,0.11,3
(Shen et al. 2022),Semi-arid,NA,4.34,8.98,Barley,Monoculture,NA,NA,Vermicompost,Yield,0.64,0.06,3,0.388,0.08,3
(Shen et al. 2022),Semi-arid,NA,4.34,8.98,Barley,Monoculture,NA,NA,Vermicompost,Yield,1.25,0.08,3,0.388,0.08,3
(Shen et al. 2022),Semi-arid,NA,4.34,8.98,Barley,Monoculture,NA,NA,Vermicompost,Yield,1.69,0.11,3,0.388,0.08,3
(Shen et al. 2022),Semi-arid,NA,4.34,8.98,Barley,Monoculture,NA,NA,Vermicompost,Yield,2.36,0.19,3,0.388,0.08,3
(Guo et al. 2022b),Semi-arid,Sandy loam,0.41,9.64,NA,NA,NA,NA,Straw,Yield,9.97,1.08,3,8.26,0.35,3
(Guo et al. 2022b),Semi-arid,Sandy loam,0.41,9.64,NA,NA,NA,NA,Humic Acid,Yield,11.1,0.38,3,8.26,0.35,3
(Guo et al. 2022b),Semi-arid,Sandy loam,0.41,9.64,NA,NA,NA,NA,Farmyard Manure,Yield,10.86,0.3,3,8.26,0.35,3
(He et al. 2022),Semi-arid,NA,NA,8.93,Alfalfa,Monoculture,NA,NA,Urea + Humic Acid,Yield,13.82,0.79,3,10.21,0.21,3
(He et al. 2022),Semi-arid,NA,NA,8.84,Alfalfa,Monoculture,NA,NA,Urea,Yield,10.72,0.51,3,10.21,0.21,3
(He et al. 2022),Semi-arid,NA,NA,8.78,Alfalfa,Monoculture,NA,NA,Humic Acid,Yield,13.21,0.34,3,10.21,0.21,3
(Wang et al. 2022d),Semi-arid,NA,NA,8.32,Maize,Monoculture,1,NA,Biochar Only,Yield,11.33,0.721,3,11.15,0.531,3
(Wang et al. 2022d),Semi-arid,NA,NA,8.32,Maize,Monoculture,1,NA,Biochar Only,Yield,13.56,0.707,3,11.15,0.531,3
(Wang et al. 2022d),Semi-arid,NA,NA,8.32,Maize,Monoculture,1,NA,Biochar Only,Yield,12.57,0.489,3,11.15,0.531,3
(Li et al. 2023a),Temperate,NA,3.5,8.53,Wheat,Monoculture,4,NA,Straw + NPK,Yield,6,0.5,4,6.5,0.5,4
(Jiang et al. 2023),Arid,Silt loam,NA,NA,Cotton,Monoculture,2,Drip,Control,Yield,7.80894,0.41403,3,6.59705,0.60098,3
(Hu et al. 2023),Subtropical,Silt loam,NA,NA,Rice,Monoculture,1,Flood,Control,Yield,10.57011,1.27513,3,9.59476,0.57618,3
(Liu et al. 2023a),Arid,Silt loam,1.63,8.28,NA,NA,20,NA,Control,Yield,11.47,8.18,3,4.71,0.97,3
(Huang et al. 2024a),Arid,Sandy loam,9.4,8.55,Maize,Monoculture,NA,NA,Control,Yield,8.46,0.97,3,7.45,0.6,3
